baseline,gain,offset,record,side,signal,trial
91.0,1.0,170,sir_1,L,Channel 2,21
52.0,1.0,145,sir_1,L,Channel 3,21
98.00000000000819,1.0,120,sir_1,L,Channel 4,21
112.9999999999909,1.0,100,sir_1,L,Channel 5,21
113.99999999997091,0.972222222222615,80,sir_1,L,Channel 6,21
33.99999999998272,1.0,60,sir_1,L,Channel 7,21
199.999999999995,0.16759776536317209,40,sir_1,L,Channel 8,21
16.59,2.5,400,sir_1,L,CoP,21
2308.189999999992,0.04230629759460645,380,sir_1,L,vGRF,21
97.00000000000045,0.8433734939759077,200,sir_1,R,Channel 1,21
199.99999999999,0.8415841584157999,170,sir_1,R,Channel 2,21
47.0,0.7500000000000123,145,sir_1,R,Channel 3,21
104.0,1.0,120,sir_1,R,Channel 4,21
288.0,0.6923076923076923,100,sir_1,R,Channel 5,21
185.0,0.5645161290322581,80,sir_1,R,Channel 6,21
226.0,0.3246753246753247,60,sir_1,R,Channel 7,21
220.999999999995,0.1675977653631342,40,sir_1,R,Channel 8,21
10.300000000000033,2.5,400,sir_1,R,CoP,21
1248.0,0.05057803468208159,380,sir_1,R,vGRF,21
58.99999999999909,0.9271523178807891,200,sir_21,L,Channel 1,1
72.0,1.0,170,sir_21,L,Channel 2,1
50.00000000000637,1.0,145,sir_21,L,Channel 3,1
77.0,1.0,120,sir_21,L,Channel 4,1
107.0,1.0,100,sir_21,L,Channel 5,1
110.0,1.0,80,sir_21,L,Channel 6,1
34.99999999999545,1.0,60,sir_21,L,Channel 7,1
201.99999999999181,0.16216216216217558,40,sir_21,L,Channel 8,1
15.07,2.5,400,sir_21,L,CoP,1
2610.0099999999775,0.0407393612069244,380,sir_21,L,vGRF,1
80.0,0.7407407407409998,200,sir_21,R,Channel 1,1
156.0,0.6513409961686072,170,sir_21,R,Channel 2,1
42.0,0.7249070631970558,145,sir_21,R,Channel 3,1
54.0,1.0,120,sir_21,R,Channel 4,1
239.0,0.947368421053225,100,sir_21,R,Channel 5,1
132.0,0.9859154929577465,80,sir_21,R,Channel 6,1
210.0,0.33783783783783783,60,sir_21,R,Channel 7,1
205.0,0.18518518518518517,40,sir_21,R,Channel 8,1
10.015000000000036,2.5,400,sir_21,R,CoP,1
1261.9999999999927,0.04353233830847566,380,sir_21,R,vGRF,1
64.0,0.9655172413793104,200,sir_21,L,Channel 1,2
94.0,1.0,170,sir_21,L,Channel 2,2
49.0,1.0,145,sir_21,L,Channel 3,2
114.50000000000318,1.0,120,sir_21,L,Channel 4,2
126.0,1.0,100,sir_21,L,Channel 5,2
133.00000000001455,0.760869565217271,80,sir_21,L,Channel 6,2
37.0,1.0,60,sir_21,L,Channel 7,2
218.00000000000364,0.15151515151518,40,sir_21,L,Channel 8,2
15.4,2.5,400,sir_21,L,CoP,2
2575.24,0.04353721187695419,380,sir_21,L,vGRF,2
96.0,0.8284023668639053,200,sir_21,R,Channel 1,2
193.99999999998363,0.8900523560208743,170,sir_21,R,Channel 2,2
82.0,0.862831858407104,145,sir_21,R,Channel 3,2
100.00000000000546,1.0,120,sir_21,R,Channel 4,2
282.0,0.6521739130434783,100,sir_21,R,Channel 5,2
150.0,0.7954545454545454,80,sir_21,R,Channel 6,2
200.00000000001455,0.3731343283582743,60,sir_21,R,Channel 7,2
237.0,0.15306122448979592,40,sir_21,R,Channel 8,2
10.22,2.5,400,sir_21,R,CoP,2
1267.0,0.04729729729736229,380,sir_21,R,vGRF,2
82.0,1.0,200,sir_21,L,Channel 1,3
97.99999999999909,1.0,170,sir_21,L,Channel 2,3
54.0,1.0,145,sir_21,L,Channel 3,3
183.0,0.6508875739648132,120,sir_21,L,Channel 4,3
140.0,0.9890109890109967,100,sir_21,L,Channel 5,3
144.0,0.6730769230769524,80,sir_21,L,Channel 6,3
42.0,1.0,60,sir_21,L,Channel 7,3
257.99999999999636,0.12500000000002076,40,sir_21,L,Channel 8,3
15.2,2.5,400,sir_21,L,CoP,3
2526.3899999999862,0.04810665933623686,380,sir_21,L,vGRF,3
98.0,0.7865168539325843,200,sir_21,R,Channel 1,3
213.0,0.8333333333333334,170,sir_21,R,Channel 2,3
99.9999999999909,0.9069767441860239,145,sir_21,R,Channel 3,3
100.00000000001364,1.0,120,sir_21,R,Channel 4,3
