png,source_complete_graph,source_segmented_csv,status,sssw_start_seconds,sssw_end_seconds
Sub01_A/jitu_1/trial_04_l.png,tempgraphs/sub01_a/jitu_1/trial_04_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,created: exact completed-graph display transform,3.60,17.61
Sub01_A/jitu_1/trial_04_r.png,tempgraphs/sub01_a/jitu_1/trial_04_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,created: exact completed-graph display transform,3.60,17.61
Sub01_A/jitu_1/trial_05_l.png,tempgraphs/sub01_a/jitu_1/trial_05_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,created: exact completed-graph display transform,1.93,4.88
Sub01_A/jitu_1/trial_05_r.png,tempgraphs/sub01_a/jitu_1/trial_05_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,created: exact completed-graph display transform,1.93,4.88
Sub01_A/jitu_1/trial_06_l.png,tempgraphs/sub01_a/jitu_1/trial_06_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,created: exact completed-graph display transform,4.10,12.63
Sub01_A/jitu_1/trial_06_r.png,tempgraphs/sub01_a/jitu_1/trial_06_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,created: exact completed-graph display transform,4.10,12.63
Sub01_A/jitu_1/trial_07_l.png,tempgraphs/sub01_a/jitu_1/trial_07_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,created: exact completed-graph display transform,2.35,10.95
Sub01_A/jitu_1/trial_07_r.png,tempgraphs/sub01_a/jitu_1/trial_07_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,created: exact completed-graph display transform,2.35,10.95
Sub01_A/jitu_1/trial_08_l.png,tempgraphs/sub01_a/jitu_1/trial_08_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_l_segmented.csv,created: exact completed-graph display transform,2.95,9.36
Sub01_A/jitu_1/trial_08_r.png,tempgraphs/sub01_a/jitu_1/trial_08_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_r_segmented.csv,created: exact completed-graph display transform,2.95,9.36
Sub01_A/jitu_1/trial_09_l.png,tempgraphs/sub01_a/jitu_1/trial_09_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_l_segmented.csv,created: exact completed-graph display transform,3.25,6.05
Sub01_A/jitu_1/trial_09_r.png,tempgraphs/sub01_a/jitu_1/trial_09_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_r_segmented.csv,created: exact completed-graph display transform,3.25,6.05
Sub01_A/jitu_1/trial_10_l.png,tempgraphs/sub01_a/jitu_1/trial_10_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_l_segmented.csv,created: exact completed-graph display transform,3.73,8.77
Sub01_A/jitu_1/trial_10_r.png,tempgraphs/sub01_a/jitu_1/trial_10_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_r_segmented.csv,created: exact completed-graph display transform,3.73,8.77
Sub01_A/jitu_21/trial_01_l.png,tempgraphs/sub01_a/jitu_21/trial_01_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_l_segmented.csv,created: exact completed-graph display transform,2.51,9.07
Sub01_A/jitu_21/trial_01_r.png,tempgraphs/sub01_a/jitu_21/trial_01_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_r_segmented.csv,created: exact completed-graph display transform,2.51,9.07
Sub01_A/jitu_21/trial_02_l.png,tempgraphs/sub01_a/jitu_21/trial_02_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_l_segmented.csv,created: exact completed-graph display transform,2.11,4.78
Sub01_A/jitu_21/trial_02_r.png,tempgraphs/sub01_a/jitu_21/trial_02_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_r_segmented.csv,created: exact completed-graph display transform,2.11,4.78
Sub01_A/jitu_21/trial_03_l.png,tempgraphs/sub01_a/jitu_21/trial_03_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_l_segmented.csv,created: exact completed-graph display transform,4.39,6.24
Sub01_A/jitu_21/trial_03_r.png,tempgraphs/sub01_a/jitu_21/trial_03_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_r_segmented.csv,created: exact completed-graph display transform,4.39,6.24
